Title,Company,City,State,Description
Data Scientist,The Hartford,Wethersfield,Connecticut,"Data Scientist - GD08AEYou are a driven and motivated problem solver ready to pursue meaningful work. You strive to make an impact every day & not only at work, but in your personal life and community too. If that sounds like you, then you've landed in the right place.Data ScientistOverview Of The PositionDo you have a passion for analytics? Get satisfaction out of solving complex problems and creating solutions through the use of data? Are you inspired by the ability to use your technological knowledge to help others? This is your opportunity to give your passions and talents new purpose by applying them to meaningful work at The Hartford, in the Personal Lines Data Science team.Our Data Scientists focus on designing, developing and implementing solutions that will make an impact on our business. As part of our Data & Analytics community, our Data Scientists play a significant role by both leading and partnering with the business and data teams for a better understanding of the customer journey across multiple lines of business.As a Data Scientist you will focus on developing analytic and predictive modeling solutions that feature engineering assets, experimental design, as well as statistical learning techniques and abilities. Our Data Scientist toolbox consists of but not limited to predictive modeling techniques, machine learning, cognitive computing, and augmented intelligence.At The Hartford we continue to build a data driven culture across the enterprise that enables our businesses to better manage and monitor products.As we evolve, our Data and Analytics teams will remain at the heart of that evolution.ResponsibilitiesCollaborate and partner with business stakeholders in a way that supports the vision and sustains a culture that treats analytics as a corporate asset.Help identify long term opportunities within the customer journey through the creation of models, algorithms and machine learning techniques to achieve financial objectives and solve problems.Participate in reviewing work with partners on an ongoing basis to calibrate deliverables against expectations.Participate in the creation and deployment of long term tools to continually evolve the business.Assist in identifying and assessing the value of new data sources and analytical techniques to ensure ongoing competitive advantage.Contribute to the successful implementation of strategies to achieve targeted business objectives.Follow through to ensure successful conclusion.Accountable for long term ownership of models developed and evolution of those models as assigned.Support and assist in evolving the processes used to develop and enhance our business needs.Support a high-performance collaborative culture.Develop knowledge of The Hartford's formal and informal structures, business processes, and data sources in your area of expertise.Remain current on research techniques and become familiar with state of the art tools applicable to your function.Present findings, models, and results to both technical and non-technical audiences.Perform data mining and transforms raw data into actionable business information.Assist in estimating the economic impact of analytical solutions.Experience & SkillsMaster’s or Ph.D. in Machine Learning, Computer Science, Data Science, Statistics, Applied Mathematics, Quantitative Economics, or a similar analytical field.2+ years of relevant experience in Research Function in Insurance or Financial Services or related field.Experience in Insurance a plus.Technical/Functional SkillsExperience modeling data and analytical capability.Experience with Python, R, and SQL.Experience with Hadoop and related ML libraries: Hive, Spark, H2O a plus.Ability to translate complex technical topics into business solutions and strategies.Developed verbal/written communication skills.Equal Opportunity Employer/Females/Minorities/Veterans/Disability/Sexual Orientation/Gender Identity or Expression/Religion/Age"
Research Data Scientist,Facebook,New York City,New York,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.The Infrastructure Quantitative Engineering group is responsible for the strategic analysis to support and enable the continued growth critical to Facebook’s infrastructure organization. We are applied quantitative and computational experts using math, statistics and machine learning to measure & optimize cost, performance, reliability and efficiency of Facebook’s infrastructure & global telecom systems to deliver the best experience to our global audience. The ideal candidate will be passionate about Facebook, have strong analytical and modeling aptitude and has experience using data to drive cost effective decision making.Build pragmatic, scalable, and statistically rigorous solutions to large-scale web, mobile and data infrastructure problems by leveraging or developing state-of-the-art statistical and machine learning methodologies on top of Facebook's unparalleled data infrastructureWork cross-functionally to define problem statements, collect data, build analytical models and make recommendationsBuild and maintain data driven optimization models, experiments, forecasting algorithms, and machine learning modelsLeverage tools like Python, R, Hadoop & SQL to drive efficient analyticsCommunicate final recommendations and drive decision makingDegree in quantitative field (e.g. Computer Science, Engineering, Mathematics, Statistics, Operations Research or other related field)2+ years of industry or graduate research experience solving analytical problems and building models using quantitative, statistical or machine learning approachesExperience with Machine Learning, Statistics, or other data analysis tools and techniquesExperience performing data extraction, cleaning, analysis and presentation for medium to large datasetsExperience with at least one programming language (i.e. Python, R, Java, or C++)Experience writing SQL queriesExperience with scientific computing and analysis packages such as NumPy, SciPy, Pandas, Scikit-learn, dplyr, or ggplot2Experience with statistics methods such as forecasting, time series, hypothesis testing, classification, clustering or regression analysisExperience with data visualization libraries such as Matplotlib, Pyplot, ggplot2Experience with machine learning libraries and packages such as PyTorch, Caffe2, TensorFlow, Keras or TheanoAdvanced degree (Master’s or PhD or Equivalent experience) in quantitative fieldExperience working with distributed computing tools (Hadoop, Hive, Spark, etc.)Proficiency in algorithmic complexityFacebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com."
Data Science Associate,PIMCO,New York City,New York,"General InformationRef #: 28750Employee Type: Full TimeLocation:New YorkDate published: 30-Jun-2020About UsWe are PIMCO, a leading global asset management firm. We manage investments and develop solutions across the full spectrum of asset classes, strategies and vehicles: fixed income, equities, commodities, asset allocation, ETFs, hedge funds and private equity. PIMCO is one of the largest investment managers, actively managing more than $1.78 trillion in assets for clients around the world. PIMCO has over 2,800 employees in 17 offices globally. PIMCO is recognized as an innovator, industry thought leader and trusted advisor to our clients.PIMCO is one of the world’s premier fixed income investment managers with thousands of professionals around the world united in a single purpose: creating opportunities for our clients in every environment. Since 1971, we have brought innovation and expertise to our partnership with the institutions, financial advisors and millions of individual investors who entrust us with their assets. We aspire to cultivate performance and leadership through empowering our people, diversity of thought, and a commitment to an inclusive culture that engages in our global communities.Position DescriptionThis Position can be located in either ourNew York City or Newport Beach, CA offices. The primary objective of the Client Data Science team at PIMCO is to generate business growth by providing client-facing teams with insights that make them more effective in their client interactions. In doing this we employ a variety of approaches including campaign targeting, product recommendation, segmentation, and network modeling. We are increasingly achieving this goal by developing advanced analytical applications.To deliver on this mission we are a data science team with skills spanning asset management domain expertise; technical skills for querying, coding and data preparation, model development and evaluation, and measurement of the impact of acting on insights derived from models. Everyone on the team is also expected to have basic business analyst and project management skills, as well as strong communication skills. We recognize that this combination of skills is rare; so we are enthusiastic to meet you if you are highly motivated, have a partial skills match and a hunger to learn. To this end, our team has developed a strong learning and development program and is committed to supporting position-relevant ongoing education.ResponsibilitiesWe are seeking an associate beginning their career in data science who will be a strong contributor to analytics projects which enable quantitative decision-making for client-facing business leaders. The role’s success will in part be measured on the ability to improve the effectiveness of our partners in PIMCO’s sales, marketing and product teams by applying data analysis, segmentation, clustering, and predictive techniques. The role also entails analysis and visualization of client facing initiatives’ impact with statistical techniques and advanced visualizations to describe a story from the data.In Order To Achieve These Outcomes, Responsibilities IncludeContribute to a series of meaningful analytics projects under the supervision of an experienced practitioner and over time develop the skills to balance multiple projects.Build a strong knowledge of the data that describes our business, and develop strategies for developing valuable insights from it.Develop our understanding of client behavior by researching and exploiting new datasets.Develop the positive relationships needed to understand business goals in order to derive valuable insights from data.Measure and articulate the effectiveness of sales and marketing campaigns.Develop prototypes to affirm business requirements and expectations.Troubleshoot and assess impact of erroneous data, suggest solutions to correct the root cause.Employ your intellectual curiosity and learning agility to explore new techniques and algorithms; and research practices in other industries for applicability to our projects.Position RequirementsYou are a skilled in predictive techniques; including the selection, configuration, optimization and comparison of algorithms. You are also familiar and versant in the code libraries used for predictive analytics and machine learning in Python.Your MS degree in data science, financial engineering, information systems, applied mathematics, or a similar quantitative field of study provides a foundation for learning and research.1+ years of experience of quantitative problem solving, which may have been gained during internships, unique projects or academic research.While this role is unlikely to involve developing new analytical methods; success will depend upon your lateral thinking, and your ability to research. You are flexible and adapt techniques into our business domain.You operate efficiently and effectively without reliance on others to prepare data or on any particular commercial analytical software suite, tool or language. Attention to detail and quality allow you to keep track of progress against goals.You understand the need for a pragmatic balance between analytical methodology and getting to strong conclusions quickly.Your communication skills allow you to convey complex ideas relevant to your work. You flexibility and open mind let you pivot based on findings to explore new avenues.You have built valuable models employing a broad set of data science techniques spanning supervised and unsupervised learning, graph networks, text mining amongst others. You are expert at apply the right techniques to the right problems, understand the nuances of configuring the models, and interpreting and explaining the resultsYou have experience in wrangling structured and unstructured data, their associated technologies and the scripting skills required to interact with them in SQL, and Python. Your experience extends to implementing and tuning algorithms working on large data sets in a distributed processing environment.You collaborate, build social networks and operate well in a team.BenefitsPIMCO is committed to offering a comprehensive portfolio of employee benefits designed to support the health and well-being of you and your family. Benefits vary by location but may include:Medical, dental, and vision coverageLife insurance and travel coverage401(k) (defined contribution) retirement savings, retirement plan, pension contribution from your first day of employmentWork/life programs such as flexible work arrangements, parental leave and support, employee assistance plan, commuter benefits, health club discounts, and educational/CFA certification reimbursement programsCommunity involvement opportunities with The PIMCO Foundation in each PIMCO office"
"Data Scientist (Hartford, Connecticut)",Tiger Analytics,Hartford,Connecticut,"Tiger Analytics is looking for experienced Data Scientists to join our fast-growing advanced analytics consulting firm. Our consultants bring deep expertise in Data Science, Machine Learning and AI. We are the trusted analytics partner for multiple Fortune 500 companies, enabling them to generate business value from data. Our business value and leadership has been recognized by various market research firms, including Forrester and Gartner. We are looking for top-notch talent as we continue to build the best global analytics consulting team in the world.As a Data Scientist, you will apply strong expertise in AI through the use of machine learning, data mining, and information retrieval to design, prototype, and build next generation advanced analytics engines and services. You will collaborate with cross-functional teams and business partners to define the technical problem statement and hypotheses to test. You will develop efficient and accurate analytical models which mimic business decisions and incorporate those models into analytical data products and tools. You will have the opportunity to drive current and future strategy by leveraging your analytical skills as you ensure business value and communicate the results.Key ResponsibilitiesCollaborate with business partners to develop innovative solutions to meet objectives utilizing cutting edge techniques and tools.Effectively communicate the analytics approach and how it will meet and address objectives to business partners.Advocate and educate on the value of data-driven decision making; focus on the “how and why” of solutioning.Lead analytic approaches; integrate solutions collaboratively into applications and tools with data engineers, business leads, analysts and developers.Create repeatable, interpretable, dynamic and scalable models that are seamlessly incorporated into analytic data products.Engineer features by using your business acumen to find new ways to combine disparate internal and external data sources.Share your passion for Data Science with the broader enterprise community; identify and develop long-term processes, frameworks, tools, methods and standards.Collaborate, coach, and learn with a growing team of experienced Data Scientists.Stay connected with external sources of ideas through conferences and community engagementsRequirementsBachelors Degree in Data Science, Computer Science, Engineering, Statistics and 3-5 years of Data Science experience requiredProficiency in Python or R and in writing complex SQL queriesProficiency with Machine Learning concepts and modeling techniques to solve problems such as clustering, classification, regression, anomaly detection, simulation and optimization problems on large scale data sets. Ability to implement ML best practices for the entire Data Science lifecycleAbility to apply various analytical models to business use cases (NLP, Supervised, Un-Supervised, Neural Nets, and more)Exceptional communication and collaboration skills to understand business partner needs and deliver solutionsBias for action, with the ability to deliver outstanding results through task prioritization and time managementExperience with data visualization tools — Tableau, R Shiny etc preferredBenefitsThis position offers an excellent opportunity for significant career development in a fast-growing and challenging entrepreneurial environment with a high degree of individual responsibility."
Data Scientists,CVS Health,Woonsocket,Rhode Island,"It's a new Day in Healthcare and CVS Health needs your help to transform it!Curiosity makes it fun. Data makes it possible. Our people are combining their love for analytics/data and their drive to move our healthcare company forward. We are building leading-edge analytics, data and technology platforms to re-imagine health care delivery.Some of things we do to support millions of customers and patients every day: ·         Personalize the experience for millions of pharmacy customers using advanced machine learning algorithms to improve adherence and our customer experience.·         Use advanced optimization and machine learning techniques to increase the relevance and customer value of our industry-leading ExtraCare loyalty program.·         Improve operational efficiency and effectiveness within our supply chain, pharmacy operations, marketing, and MinuteClinic with an integrated team of data engineers, data scientists, and solution strategists.·         Partner with business leaders across CVS Health to create new ideas and opportunities to use data science to improve our customer experience and business results.In response to the urgent and increased health care needs of Americans impacted by the COVID-19 pandemic, CVS Health is accelerating a plan to fill more than 50,000 full-time and part-time positions across the country.CVS Health has a significant demand for professionals in its Data & Analytics Center of Excellence and is currently hiring Data ScientistsAn Ideal Candidate will have the following Technical experience and background:Experience within advanced analytics function of a corporation, tech startup or a consulting firmDeep expertise in modern machine learning and artificial intelligence techniques  Expert level proficiency with common modeling tools and frameworks, e.g. Python, R, Scala, TensorFlow, etc.  Ability to understand data management and model productionalization best practices Ability to write scalable, production level code Proficiency with tools to automate CI/CD pipelines (e.g., Jenkins, GIT, Control-M)  Design and implement end-to-end solutions using Machine Learning, Optimization, and other advanced technologies, and own live deployments  Experience with frameworks for either Machine Learning or NLP (Scikit-Learn, SpaCy, Pytorch, Spark NLP)  Experience with cloud computing environment (ideally Microsoft Azure)  Experience working on a large scale Spark implementation Productionalized one or more ML application on a big data platform Additionally, we would like this individual to have the following Analytics & Leadership Skills Must be able to translate business problem into modeling approach taking into account business requirements, data availability, development time / complexity and ability to scale. Experience leading project management activities including communications within project teams, stakeholder management, leadership updates, etc. Must be able to extract actionable insights from the analysis and interpred outcomes of complex models for business audience Experience with preparing data for the analysis, work with data engineering team to create modeling dataset, assess completeness and quality of data and perform feature engineering Knowledge of the healthcare landscape including patient and payer concerns, as well as the operational considerations in support of the business objectives and analytics experience within the retail and/or healthcare industries is highly preferred  Experience working with data and have a strong understanding of analytics and how it is leveraged within the healthcare/retail industryCreative problem solver, flexible, proactive and ability to work in a fast paced, ever changing environment  Experience presenting to audiences including technical, non-technical and senior leaders (both verbally and through Microsoft Office products - Excel, Word, and PowerPoint) Experience in managing cross functional initiatives communicating effectively and confidently with business partners, project team members and senior management Excellent written and oral communication skills, ability to interact with and influence decision-making by non-analytical business audiencesBachelor's Degree in Economics, Statistics, Mathematics, Computer Science, Engineering or related field Master's Degree – with coursework focused on advanced algorithms, mathematics in computing, data structures etc."
Scientific Analyst,Clarivate,Alexandria,Virginia,"We are seeking an experienced Scientific Analyst to design, conduct and manage innovative quantitative analyses for program evaluation, science management and research assessment. The position offers challenging hypothesis-driven projects for professionals with a scientific background and a desire to become a leader in the area of data-driven science management. The Scientific Analyst will have responsibilities that include, but are not limited to:Consulting with clients to define their needs and ensuring client satisfaction through delivery of quality services completed within the agreed upon timeframesIdentifying appropriate methodologies to answer client questions, and interpreting resultsLeading the design and implementation of projects as a senior member of a multidisciplinary analyst teamDriving projects to completion within a designated budget and timeframeCollaborating with a diverse group of subject matter experts, executives and managersCommunicating complex research findings and innovative methodologies clearly and effectively through written research reports, data visualizations, client or conference presentations and peer-reviewed journal publicationsWorking independently and as part of a teamDeveloping and adhering to project plans, schedules, and milestones, while adhering to standard processes and methodologiesServing as a point of contact to answer client questions and resolve project issuesQualifications:2+ years experienceProfessional skills in data visualization with experience on R Shiny or similar toolsExperience with data science methods, e.g. statistical modeling, text-mining, machine learning, topic modeling or network analysisExperience in research innovation management and research evaluation or assessmentFamiliarity with how science is performed, funded, and managedA master’s degree in a STEM field or other numerate disciplineExcellent verbal and written communication skillsAbility to interact professionally and collaborate with diverse groups of internal and external stakeholdersExperience successfully planning and organizing work for oneselfExperience in data analysis with SQL, R, or PythonHighly desirableDemonstrated project management experience"
Data Scientist,Hedge Fund Talent,New York City,New York,"Are you a Data Scientist that is interested in working with one of world's leading Quantitative Hedge Funds? Are you a Data Scientist that would enjoy working with a cutting-edge financial and engineering teams and to expand their data science and machine learning capabilities?ThisNew York City based leading Quantitative Hedge Fund seeks a talented Data Scientist that will work closely with the finance, operations, as well as other investment teams across the firm.As the Data Scientist, you will:Manage large amounts of complex data in Python and running quantitative queries.Identify timely and unique data sets, diving deep into a diverse set of data domains as well as visualizing and exploring underlying data driversBuild statistical analysis and financial modeling techniques to large data sets.What you need:Master's or PhD degree from a competitive university in a quantitative field such as statistics, mathematics, operational research, computer science, finance or economics.Quantitative and Developer experience (Python and/or object oriented programming)Prior experience working or Internship at a Financial firm or leading technology (Google, Facebook, Amazon, etc...) firm is helpfulProficiency with statistical and data analysis and programming tools such as R, SAS, Stata, SQL or Matlab."
Data Scientist (remote),Thrivent,Boston,Massachusetts ,"Summary*** Remote full-time opportunity for both a Senior Data Scientist and Data Scientist ***We exist to help people achieve financial clarity. At Thrivent, we believe money is a tool, not a goal. Driven by a higher purpose at our core, we are committed to providing financial advice, investments, insurance, banking and generosity programs to help people make the most of all they’ve been given.At our heart, we are a membership-owned fraternal organization, as well as a holistic financial services organization, dedicated to serving the unique needs of our clients. We focus on their goals and priorities, guiding them toward financial choices that will help them live the life they want today—and tomorrow.Join our Business Intelligence team as the full-time Senior Data Scientist or Data Scientist! This is a great opportunity to join a small team to help share your expertise but also provides you the opportunity to grow in your career. You will be responsible for obtaining, developing and analyzing data, prove/disprove hypotheses, exploring new data sources and structures, and develop insights. You will have the opportunity to consult with internal customers to develop business requirements and provide possible solutions and approaches to their analytic needs. Your customers will include marketing, branding, underwriting, field leadership, senior business leaders and the data office. This role will require in depth understanding of financial services, big data technologies (Hadoop, Python, R), statistical modeling and be a team player with strong communication skills.In the Senior Data Scientist position you will also have the opportunity to teach/lead others in principles of predictive analytics.Job DescriptionJob Duties and ResponsibilitiesWork with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.Mine and analyze data from company databases (structured and unstructured resources) to drive optimization and improvement of product development, marketing techniques and business strategies.Assess the effectiveness and accuracy of new data sources and data gathering techniques.Develop custom data models and algorithms to apply to data sets.Use predictive modeling to increase and optimize customer experiences, revenue generation, marketing targeting and other business outcomes.Develop company A/B testing framework and test model quality.Coordinate with different functional teams to implement models and monitor outcomes.Develop processes and tools to monitor and analyze model performance and data accuracy.Job QualificationsStrong problem-solving skills in Financial Services, with extensive familiarization in related life, health, and investment product sets.Experience using statistical computer languages (R, Python, SAS, etc.) to manipulate data and draw insights from large data sets.Experience working with and creating data architectures, both structured and non-structured.Knowledge of a variety of predictive analytics and machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.3+ years of experience manipulating data sets and building statistical models. At least 7 years of experience for the Senior Data Scientist opening.Master’s or PHD in Statistics, Mathematics, Computer Science or equivalent experience.Familiar with the following software/tools:Coding knowledge and experience with R, Python and/or SAS.Statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, Support Vector Machines, Neural Networks, social network analysis, etc.Creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.Analyzing data from 3rd party providers: Demographic providers (Wunderman, Acxiom, Claritas), Google Analytics, and other web/social data providers.Distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, MySQL, etc.Data mapping using R, SAS, or Tableau.Thrivent provides Equal Employment Opportunity (EEO) without regard to race, religion, color, sex, gender identity, sexual orientation, pregnancy, national origin, age, disability, marital status, citizenship status, military or veteran status, genetic information, or any other status protected by applicable local, state, or federal law. This policy applies to all employees and job applicants.Thrivent is committed to providing reasonable accommodation to individuals with disabilities. If you need a reasonable accommodation, please let us know by sending an email to human.resources@thrivent.com or call 800-847-4836 and request Human Resources."
Data Scientist,"The TJX Companies, Inc.",Framingham,Massachusetts  ,"Discovery is at the heart of everything we do. Wherever you find us around the world, if you can think of a product, you can probably find it in our stores, which include TJ Maxx, Marshalls, HomeGoods, Sierra, Winners, Homesense, and TK Maxx. With variety comes plenty of happy surprises—our environment is ever-changing, and that’s just how we like it. Every day is an opportunity to discover something new about our business, our partnerships and even something exciting about yourself. Ready to Discover Different?Posting Notes: Framingham ||Massachusetts  Job DescriptionTJX Digital is looking for an intelligent, motivated and experienced Data Scientist to join our growing team. Every day we are busy mining data, performing ad hoc analyses, recommending product, analyzing profitability, building dashboards and interacting with every part of our business.We need a talented individual who can help us move to the next level in all aspects of the data science realm including programming, quantitative expertise and business expertise.ResponsibilitiesThis position is for a hands-on Data Scientist who is as excited to create critical dashboards and quick ad hoc analyses as they are to run a regression model or work with personalization data. Position will link our complex, predictive analytics with short and long-term business strategy to optimally drive profitable sales. It requires a person who is comfortable being neck-deep in data, and understands that complex models come after a deep understanding of the data and the business. Specifically, the person in this position will help us define and build complex dashboards which will lead to insights and more complex analyses. They will help us build business cases for big data technologies. They will be in constant contact with our business partners, ensuring their questions are answered accurately with the best data driven answers we can provide. The Data Scientist will teach, mentor and provide an open work environment for everyone on our team.Qualifications And Education RequirementsMaster degree or above in statistics, math, science, engineering or another quantitative fieldExperience with SQLExperience with Python or/and RStatistical techniques such as regression, hypothesis testing, multivariate analysisExperience with machine learningStrong coding skills and knowledge in data structure & algorithmsStrong analytical and problem-solving skillsDetail oriented, comfortable digging into code and working with imperfect data setsExcellent communication skills and a “can do” attitude are a mustPrefrred QualificationsDemonstrated application of advanced techniques in a business setting with impactful resultsEcommerce or retail analytics experienceExperience with Tableau or PowerBIExperience with at least one of the following: Bayesian methods, optimization, personalization models, natural language processingReal world experience with cloud based big data technologiesCome Discover Different at TJX. From opportunity and teamwork to growth, we think you’ll find that it’s so much more than a job. When you’re a part of our global TJX family, you have the full support of a diverse, close-knit group of people dedicated to finding great deals and fantastic style. Best of all? They have a lot of fun doing it.We care about our culture, but we also prioritize the tangible stuff (Competitive salaries: check. Solid benefits: check. Plenty of room for advancement: of course). It’s our way of empowering you to make your career here.We consider all applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, gender identity and expression, marital or military status. We also provide reasonable accommodations to qualified individuals with disabilities in accordance with the Americans with Disabilities Act and applicable state and local law.Posting Notes: Framingham ||Massachusetts  Nearest Major Market: FraminghamNearest Secondary Market: BostonJob Segment: Database, Scientific, Retail Sales, Engineer, SQL, Technology, Engineering, Retail"
Data Scientist,Casper,New York City,New York,"Looking for a job to get you out of bed?Casper is looking to add a Data Scientist to our Data and Analytics team. The Data Scientist will touch all aspects of the organization including marketing, retail, operations, product, customer experience, wholesale and engineering to increase the organization's sophistication leveraging data and modelling to drive decision-making and optimize profit generating activities.Casper (casper.com) was created to re-imagine sleep from the ground up, beginning with its obsessively engineered, outrageously comfortable mattress. All of Casper’s sleep products — including its pillow, bedding, and furniture — are developed in-house by the company’s award-winning R&D team in San Francisco. Casper was named one of Fast Company’s Most Innovative Companies in the World and its eponymous mattress was crowned one of TIME Magazine's Best Inventions.We are deeply committed to building a diverse and inclusive workforce so that we represent all those who dream big equally.When you’re not catching zzz’s, this is what you’ll do...ResponsibilitiesThe Data Scientist will focus on areas within Marketing Analytics, with responsibilities includingYou have the statistical and technical firepower to take advantage of our rich data, translate business problems into data science products and solutions, and accelerate our data-driven approach to decisioning.Refine, evolve and take ownership of our media mix model to drive increased understanding of marketing spend impact and a full spectrum of factors on revenue and collaborate with analytics to enhance scenario planning capabilitiesDevelop and continue enhancing our media mix optimization process, drive marketing strategy and budget allocation through statistical modeling and analysisImprove customer acquisition efficiency and drive profitable growth by enhancing Casper’s data driven revenue prediction modelsCarry out customer path analysis and predictive modeling to understand customer journey and customer behaviorsDevelop customer segmentation models to uncover opportunities for CRM and drive more personalized experiences to increase customer value and profitabilityBuild comprehensive testing frameworks to empower and champion a testing culture that rapidly tests, measures, and iterates, executing in conjunction with the Digital Product, Acquisition and Customer Marketing teams to continually measure new tactics and strategies and drive strategic learningsOur dream candidate...4+ years of experience working in data and analytics, with an emphasis on marketing analytics and /or product development, preferably at an omni-channel e-commerce brand, and working with teams to successfully implement spend recommendations to drive business growthBachelor’s degree with a quantitative focus in Economics, Computer Science, Statistics, Engineering, other technical field or equivalent practical experience. MS/MBA or PhD in a quantitative field is preferred.Proficient knowledge in statistical modeling and machine learning methodologies, bonus points for experience with generalized linear models, time-series, state space, and econometric modelingStrong data modeling skills including writing complex SQL queries, experience with dbt a plus.Python expertise, with a solid understanding of open source data mining / data visualization software packages (e.g., scipy, pandas, numpy).Experience of using data visualization platforms such as Looker, and web analytics platforms like Heap, Google Analytics is preferredExperience of implementing modeling algorithms for business applicationsStrong communication skills and able to influence others to achieve buy-in for recommendations and translate business challenges into data science applications that meaningfully drive resultsHighly motivated self-learner. Flexible, adaptable, able to work in a fast-paced agile environmentExcited by the prospect of developing and building a data science competency at Casper from the ground up and finding new applications for data science partnerships with senior leaders. Lots of latitude to identify new area for impact and implement proof of concept work to drive impact and adoptionThe syrup on your waffles...Participation in our HQ bonus program for some splurging and equity so that you’re part of the Casper family.Medical, vision, and dental insurance to help you with those coughs or cavities (too many waffles...)Wellness programs like cash incentives for tracking sleep and fitness, credits for your favorite studios and in-office activitiesUnlimited vacation policy. If you need time off just take it; we trust you!Catered lunches twice a week to give you time to catch up with your teammateFree snacks and coffee, including a huge breakfast selection (10 types of cereal anyone?)A full gifted bed set when you join and product discounts for friends and family!If you dream about this stuff this job is probably right for you. We look forward to learning more about you!"
